destination,city,region,type,activities,budget_category,best_season,rating,popularity_score,description
Gangaikonda Cholapuram,Nanjiyampalayam,south,heritage,heritage,low,winter,4.7,58.0,"Gangaikonda Cholapuram is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Shiva Ganga Garden ,Kaveripalayam,south,city,exploration,low,all,4.7,54.0,"Shiva Ganga Garden  is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Vijaynagar fort,Unknown,south,heritage,heritage,luxury,winter,4.6,54.0,"Vijaynagar fort is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Thanjavur Royal Palace and Art Gallery,Pulavarnatham,south,heritage,heritage,low,winter,4.5,76.0,"Thanjavur Royal Palace and Art Gallery is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Shore Temple,Tiruvannamalai,south,religious,religious,luxury,all,4.4,55.0,"Shore Temple is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pancha Ratha,Mahabalipuram,south,heritage,heritage,low,winter,4.7,87.0,"Pancha Ratha is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Krishna's Chunk,Kil Kunnuppatti,south,city,exploration,low,all,4.5,57.0,"Krishna's Chunk is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Arjuna's Penance,Mahabalipuram,south,city,exploration,low,all,4.5,70.0,"Arjuna's Penance is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
India Seashell Museum,Venpurushanattam,south,heritage,beach,low,winter,4.5,57.0,"India Seashell Museum is a heritage destination in tamil nadu known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Crocodile farm,Kil Kunnuppatti,south,city,exploration,low,all,4.6,95.0,"Crocodile farm is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Cavern Temples,Kil Kunnuppatti,south,religious,religious,low,all,4.7,80.0,"Cavern Temples is a religious destination in tamil nadu known for temple,spiritual,peace. It is ideal for spiritual seekers"
Yercaud Lake,Yercaud,south,city,photography,low,all,4.5,66.0,"Yercaud Lake is a city destination in tamil nadu known for exploration,local experience. It is ideal for explorers and tourists"
Grange Treetop Adventure,Yercaud,south,adventure,adventure,low,summer,4.1,78.0,"Grange Treetop Adventure is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
The Oak trails,Yercaud,south,adventure,trekking,high,summer,4.5,66.0,"The Oak trails is a adventure destination in tamil nadu known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kanaka Durga Temple,Vijayawada,south,religious,religious,low,all,4.7,51.0,"Kanaka Durga Temple is a religious destination in andhra pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Undavalli caves,Unknown,south,city,exploration,low,all,4.8,86.0,"Undavalli caves is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Bhavani island,Amaravati,south,adventure,adventure,low,summer,4.5,72.0,"Bhavani island is a adventure destination in andhra pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kondapalli Fort,Kondapalli,south,city,heritage,high,all,4.4,82.0,"Kondapalli Fort is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Shopping at Besant road,Vijayawada,south,city,shopping,low,all,4.5,86.0,"Shopping at Besant road is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Bapu museum,Vijayawada,south,city,heritage,low,all,4.6,89.0,"Bapu museum is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Mogalarajapuram caves,Unknown,south,city,exploration,low,all,4.7,93.0,"Mogalarajapuram caves is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Shopping at Kalanikethan ,Lakshmipuram,south,city,shopping,low,all,4.6,91.0,"Shopping at Kalanikethan  is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Lepakshi Handicrafts Emporium,Lepakshi,south,city,shopping,low,all,4.7,69.0,"Lepakshi Handicrafts Emporium is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Old Book market by Purna Market,Maharani Peta,south,city,shopping,low,all,4.3,99.0,"Old Book market by Purna Market is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
CMR Shopping Mall,Lakshmipuram,south,city,shopping,low,all,4.7,84.0,"CMR Shopping Mall is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Rishikonda Beach,Vadapalem,south,adventure,beach,low,summer,4.4,74.0,"Rishikonda Beach is a adventure destination in andhra pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kailasagiri,Patna,south,adventure,wildlife,luxury,summer,4.4,93.0,"Kailasagiri is a adventure destination in andhra pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Submarine Museum,Lakshmipuram,south,city,heritage,low,all,4.6,70.0,"Submarine Museum is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
War Memorial,Lakshmipuram,south,adventure,adventure,low,summer,4.8,91.0,"War Memorial is a adventure destination in andhra pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Indira Gandhi Zoological Park,Patna,south,wildlife,wildlife,low,winter,4.6,86.0,"Indira Gandhi Zoological Park is a wildlife destination in andhra pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Matsyadarshini Aquarium,Lakshmipuram,south,city,exploration,low,all,4.5,75.0,"Matsyadarshini Aquarium is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Visakha Museum,Patna,south,city,heritage,low,all,4.7,95.0,"Visakha Museum is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Mallikarjuna Swamy Temple,Lakshmipuram,south,religious,religious,low,all,4.5,70.0,"Mallikarjuna Swamy Temple is a religious destination in andhra pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Srisailam Wildlife sanctuary,Srisailam,south,wildlife,wildlife,low,winter,4.4,98.0,"Srisailam Wildlife sanctuary is a wildlife destination in andhra pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Chenchu Lakshmi Tribal Museum,Srisailam,south,heritage,heritage,low,winter,4.7,89.0,"Chenchu Lakshmi Tribal Museum is a heritage destination in andhra pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Mallela Theertham,Lakshmipuram,south,wildlife,wildlife,medium,winter,4.4,53.0,"Mallela Theertham is a wildlife destination in andhra pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Belum Caves,Kolimigundla,south,wildlife,wildlife,low,winter,4.6,98.0,"Belum Caves is a wildlife destination in andhra pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Rollapadu wildlife sanctuary,Rollapadu,south,wildlife,wildlife,low,winter,4.3,52.0,"Rollapadu wildlife sanctuary is a wildlife destination in andhra pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Oravakallu rock garden,Nannur,south,wildlife,wildlife,low,winter,4.2,58.0,"Oravakallu rock garden is a wildlife destination in andhra pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Mahanandi village,Mahanandi,south,city,exploration,low,all,4.6,76.0,"Mahanandi village is a city destination in andhra pradesh known for exploration,local experience. It is ideal for explorers and tourists"
Kurnool fort,Kurnool,south,heritage,heritage,low,winter,4.7,80.0,"Kurnool fort is a heritage destination in andhra pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Ahobilam temple,Ahobilam,south,religious,religious,low,all,4.8,80.0,"Ahobilam temple is a religious destination in andhra pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Cable Ride at Gangtok,Gangtok,north-east,adventure,adventure,low,summer,4.0,79.0,"Cable Ride at Gangtok is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
"Yak safari , Dzongri",Gyalshing,north-east,adventure,adventure,high,summer,4.0,80.0,"Yak safari , Dzongri is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
Mountain biking treks,Namchi,north-east,adventure,trekking,luxury,summer,4.2,60.0,"Mountain biking treks is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
River rafting,Namchi,north-east,adventure,adventure,luxury,summer,4.8,60.0,"River rafting is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
Paragliding in Baliman Dara,Gangtok,north-east,adventure,adventure,luxury,summer,4.5,58.0,"Paragliding in Baliman Dara is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
Explore M.G.Marg city centre,Gangtok,north-east,city,exploration,low,all,4.8,70.0,"Explore M.G.Marg city centre is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Sunrise at Tashi view point,Gangtok,north-east,wildlife,wildlife,low,winter,4.4,88.0,"Sunrise at Tashi view point is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Shopping at Lal Bazaar,Namchi,north-east,city,shopping,low,all,4.6,56.0,"Shopping at Lal Bazaar is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Tsuk La Khang Monastery,Gangtok,north-east,religious,religious,low,all,4.7,99.0,"Tsuk La Khang Monastery is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Hanuman Tok,Gangtok,north-east,religious,religious,low,all,4.3,97.0,"Hanuman Tok is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Seven Sisters waterfall,Mangan,north-east,wildlife,wildlife,low,winter,4.4,56.0,"Seven Sisters waterfall is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Rumtek monastery,Gangtok,north-east,religious,religious,low,all,4.2,74.0,"Rumtek monastery is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Tsongmo lake ,Changgu,north-east,wildlife,wildlife,low,winter,4.2,69.0,"Tsongmo lake  is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Shingba Rhododendron sanctuary,Mangan,north-east,wildlife,wildlife,low,winter,3.8,68.0,"Shingba Rhododendron sanctuary is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Skiing by Mt Katao,Katao,north-east,adventure,adventure,luxury,summer,4.0,79.0,"Skiing by Mt Katao is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
Banjkhari falls,Gangtok,north-east,wildlife,wildlife,low,winter,4.0,85.0,"Banjkhari falls is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Himalayan Zoological park,Gangtok,north-east,wildlife,wildlife,medium,winter,4.0,95.0,"Himalayan Zoological park is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Pemayangtse Monastery,Pelling,north-east,heritage,heritage,low,winter,4.8,86.0,"Pemayangtse Monastery is a heritage destination in sikkim known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Kanchenjunga waterfalls and national park,Gyalshing,north-east,wildlife,wildlife,low,winter,4.8,54.0,"Kanchenjunga waterfalls and national park is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Rinchenpong bazaar,Rinchingpong,north-east,city,shopping,low,all,4.3,51.0,"Rinchenpong bazaar is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Rural Artisan Marketing Centre,Pelling,north-east,city,shopping,low,all,4.3,77.0,"Rural Artisan Marketing Centre is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Singshore suspension bridge,Gyalshing,north-east,adventure,adventure,low,summer,4.7,98.0,"Singshore suspension bridge is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
Pelling Skywalk,Gyalshing,north-east,adventure,adventure,low,summer,4.4,90.0,"Pelling Skywalk is a adventure destination in sikkim known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kalimpong,Kalimpong,north-east,city,exploration,low,all,4.5,67.0,"Kalimpong is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Char Dham,Namchi,north-east,religious,religious,low,all,4.8,84.0,"Char Dham is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Doling Gompa ,Namchi,north-east,religious,religious,low,all,4.5,84.0,"Doling Gompa  is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ngadak monastery,Namchi,north-east,religious,religious,low,all,4.7,53.0,"Ngadak monastery is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Maenam Wildlife sanctuary,Ravangla,north-east,wildlife,wildlife,high,winter,4.7,95.0,"Maenam Wildlife sanctuary is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Samdruptse Hill,Namchi,north-east,religious,religious,low,all,3.9,85.0,"Samdruptse Hill is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Buddha Park,Ravangla,north-east,city,wildlife,low,all,3.8,58.0,"Buddha Park is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Ralang monastery,Ravangla,north-east,religious,religious,low,all,3.7,97.0,"Ralang monastery is a religious destination in sikkim known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kheunpheling Carpet centre,Namchi,north-east,city,shopping,luxury,all,4.3,62.0,"Kheunpheling Carpet centre is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Rayong sunrise point,Namchi,north-east,city,exploration,low,all,4.1,73.0,"Rayong sunrise point is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Borong Hot springs,Namchi,north-east,wildlife,wildlife,low,winter,4.0,54.0,"Borong Hot springs is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Temi tea garden,Tarku,north-east,city,exploration,medium,all,4.0,60.0,"Temi tea garden is a city destination in sikkim known for exploration,local experience. It is ideal for explorers and tourists"
Maenam hill,Namchi,north-east,wildlife,wildlife,low,winter,4.0,71.0,"Maenam hill is a wildlife destination in sikkim known for safari,photography,nature. It is ideal for history and cultural lover"
Kamakhya Temple,Maligaon,north-east,religious,religious,low,all,4.9,98.0,"Kamakhya Temple is a religious destination in assam known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kalakshetra theatre and artifact museum,Hojai,north-east,city,heritage,medium,all,4.8,77.0,"Kalakshetra theatre and artifact museum is a city destination in assam known for exploration,local experience. It is ideal for explorers and tourists"
Assam state museum,Guwahati,north-east,heritage,heritage,low,winter,4.7,60.0,"Assam state museum is a heritage destination in assam known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Guwahati planetarium,Guwahati,north-east,city,exploration,medium,all,4.8,89.0,"Guwahati planetarium is a city destination in assam known for exploration,local experience. It is ideal for explorers and tourists"
Sunset cruise by river Brahmaputra,Hojai,north-east,city,exploration,low,all,3.8,80.0,"Sunset cruise by river Brahmaputra is a city destination in assam known for exploration,local experience. It is ideal for explorers and tourists"
Pobitora wildlife sanctuary,Sildubi,north-east,wildlife,wildlife,low,winter,4.0,61.0,"Pobitora wildlife sanctuary is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Bird watching by Deepor Beel lake,Kamrup Metropolitan,north-east,wildlife,wildlife,low,winter,4.0,87.0,"Bird watching by Deepor Beel lake is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Assam State Zoo,Dispur,north-east,wildlife,wildlife,low,winter,4.0,63.0,"Assam State Zoo is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Kamakhya Temple,Maligaon,north-east,religious,religious,low,all,4.7,70.0,"Kamakhya Temple is a religious destination in assam known for temple,spiritual,peace. It is ideal for spiritual seekers"
Fancy Bazaar,Guwahati,north-east,city,shopping,low,all,4.7,74.0,"Fancy Bazaar is a city destination in assam known for exploration,local experience. It is ideal for explorers and tourists"
Manas National Park,Baksa,north-east,wildlife,wildlife,low,winter,4.2,86.0,"Manas National Park is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Umananda Island,Guwahati,north-east,wildlife,wildlife,low,winter,4.5,66.0,"Umananda Island is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Majuli river island,Garamur,north-east,wildlife,wildlife,low,winter,4.6,89.0,"Majuli river island is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Orchid national park,Hojai,north-east,wildlife,wildlife,low,winter,4.7,77.0,"Orchid national park is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Kaziranga National Park,Golaghat,north-east,wildlife,wildlife,luxury,winter,4.3,79.0,"Kaziranga National Park is a wildlife destination in assam known for safari,photography,nature. It is ideal for history and cultural lover"
Jaswant Garh war memorial,Kamba,north-east,heritage,heritage,low,winter,3.8,71.0,"Jaswant Garh war memorial is a heritage destination in arunachal pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Madhuri lake,Kamba,north-east,wildlife,wildlife,low,winter,4.3,85.0,"Madhuri lake is a wildlife destination in arunachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Shonga Tser Lake,Kamba,north-east,wildlife,wildlife,low,winter,4.5,71.0,"Shonga Tser Lake is a wildlife destination in arunachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Nuranang waterfalls,Kamba,north-east,wildlife,wildlife,low,winter,4.8,93.0,"Nuranang waterfalls is a wildlife destination in arunachal pradesh known for safari,photography,nature. It is ideal for history and cultural lover"
Tibetan Settlement market,Kamba,north-east,heritage,heritage,low,winter,4.0,76.0,"Tibetan Settlement market is a heritage destination in arunachal pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sela pass,Kamba,north-east,adventure,adventure,low,summer,4.0,81.0,"Sela pass is a adventure destination in arunachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Gorichen Peak hike,Kamba,north-east,adventure,trekking,low,summer,3.9,71.0,"Gorichen Peak hike is a adventure destination in arunachal pradesh known for trekking,rafting,paragliding. It is ideal for adventure lover"
Taktsang Gompa monastery,Kamba,north-east,religious,religious,low,all,3.8,58.0,"Taktsang Gompa monastery is a religious destination in arunachal pradesh known for temple,spiritual,peace. It is ideal for spiritual seekers"
Tawang Monastery,Tawang,north-east,heritage,religious,low,winter,4.54,79.0,"Tawang Monastery is a heritage destination in arunachal pradesh known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Raima valley ,Amarpur Urban,north-east,wildlife,wildlife,low,winter,4.9,87.0,"Raima valley  is a wildlife destination in tripura known for safari,photography,nature. It is ideal for history and cultural lover"
Buddha temple,Amarpur Urban,north-east,religious,religious,low,all,4.8,79.0,"Buddha temple is a religious destination in tripura known for temple,spiritual,peace. It is ideal for spiritual seekers"
Neermahal,Melaghar,north-east,heritage,heritage,low,winter,3.8,64.0,"Neermahal is a heritage destination in tripura known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Gondacherra wildlife sanctuary,Amarpur Urban,north-east,wildlife,wildlife,luxury,winter,4.9,78.0,"Gondacherra wildlife sanctuary is a wildlife destination in tripura known for safari,photography,nature. It is ideal for history and cultural lover"
Ummaneshwar temple,Agartala,north-east,religious,religious,low,all,4.7,55.0,"Ummaneshwar temple is a religious destination in tripura known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chittagong hills,Amarpur Urban,north-east,wildlife,wildlife,low,winter,4.3,91.0,"Chittagong hills is a wildlife destination in tripura known for safari,photography,nature. It is ideal for history and cultural lover"
Sepahijala wildlife sanctuary,Bishramganj,north-east,wildlife,wildlife,high,winter,4.9,51.0,"Sepahijala wildlife sanctuary is a wildlife destination in tripura known for safari,photography,nature. It is ideal for history and cultural lover"
Ujjayanta Palace,Agartala,north-east,heritage,heritage,low,winter,4.7,92.0,"Ujjayanta Palace is a heritage destination in tripura known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Mt Japfu,Kohima,north-east,wildlife,wildlife,low,winter,4.9,96.0,"Mt Japfu is a wildlife destination in nagaland known for safari,photography,nature. It is ideal for history and cultural lover"
Naga keeda bazaar,Suruhuto,north-east,city,shopping,low,all,3.9,69.0,"Naga keeda bazaar is a city destination in nagaland known for exploration,local experience. It is ideal for explorers and tourists"
Touphema village ,Botsa,north-east,heritage,heritage,low,winter,4.0,61.0,"Touphema village  is a heritage destination in nagaland known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Ntangki national park,Unknown,north-east,wildlife,wildlife,low,winter,4.8,58.0,"Ntangki national park is a wildlife destination in nagaland known for safari,photography,nature. It is ideal for history and cultural lover"
Dawki lake,Dawki,north-east,city,photography,luxury,all,4.6,94.0,"Dawki lake is a city destination in meghalaya known for exploration,local experience. It is ideal for explorers and tourists"
Thangkharang park,Lad Ryngud,north-east,city,wildlife,low,all,4.9,93.0,"Thangkharang park is a city destination in meghalaya known for exploration,local experience. It is ideal for explorers and tourists"
Mawkdok Dympep valley,Laitkroh,north-east,city,photography,low,all,4.7,67.0,"Mawkdok Dympep valley is a city destination in meghalaya known for exploration,local experience. It is ideal for explorers and tourists"
Mawsmai cave-Longest cave systems in India,Nongthymmai,north-east,city,exploration,low,all,4.0,61.0,"Mawsmai cave-Longest cave systems in India is a city destination in meghalaya known for exploration,local experience. It is ideal for explorers and tourists"
Mawlynnong village,East Khasi Hills,north-east,heritage,heritage,low,winter,4.8,53.0,"Mawlynnong village is a heritage destination in meghalaya known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Mawsmai Eco park and falls,Nongthymmai,north-east,wildlife,wildlife,low,winter,4.3,92.0,"Mawsmai Eco park and falls is a wildlife destination in meghalaya known for safari,photography,nature. It is ideal for history and cultural lover"
Mawmluh caves,Mawmluh,north-east,city,exploration,low,all,4.0,79.0,"Mawmluh caves is a city destination in meghalaya known for exploration,local experience. It is ideal for explorers and tourists"
Nohkalikai watterfalls,East Khasi Hills,north-east,city,photography,low,all,4.6,94.0,"Nohkalikai watterfalls is a city destination in meghalaya known for exploration,local experience. It is ideal for explorers and tourists"
Living Root Bridge,East Khasi Hills,north-east,wildlife,wildlife,low,winter,4.9,98.0,"Living Root Bridge is a wildlife destination in meghalaya known for safari,photography,nature. It is ideal for history and cultural lover"
Baba Baidyanath Temple,Deoghar,east,religious,religious,low,all,4.4,65.0,"Baba Baidyanath Temple is a religious destination in jharkhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Naulakha temple,Deoghar,east,religious,religious,low,all,4.8,75.0,"Naulakha temple is a religious destination in jharkhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Trikut hill,Mohanpur,east,religious,religious,low,all,4.6,95.0,"Trikut hill is a religious destination in jharkhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pahari Mandir,Ranchi,east,religious,religious,low,all,4.5,78.0,"Pahari Mandir is a religious destination in jharkhand known for temple,spiritual,peace. It is ideal for spiritual seekers"
Biodiversity park,Ranchi,east,wildlife,wildlife,medium,winter,4.9,94.0,"Biodiversity park is a wildlife destination in jharkhand known for safari,photography,nature. It is ideal for history and cultural lover"
Rock garden,Ranchi,east,wildlife,wildlife,medium,winter,4.8,67.0,"Rock garden is a wildlife destination in jharkhand known for safari,photography,nature. It is ideal for history and cultural lover"
Patratu valley,Ranchi,east,wildlife,wildlife,low,winter,4.4,66.0,"Patratu valley is a wildlife destination in jharkhand known for safari,photography,nature. It is ideal for history and cultural lover"
State museum Hotwar,Ranchi,east,heritage,heritage,low,winter,4.9,72.0,"State museum Hotwar is a heritage destination in jharkhand known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Dassam falls ,Khunti,east,wildlife,wildlife,low,winter,4.9,68.0,"Dassam falls  is a wildlife destination in jharkhand known for safari,photography,nature. It is ideal for history and cultural lover"
Jonha falls,Ranchi,east,wildlife,wildlife,low,winter,4.8,94.0,"Jonha falls is a wildlife destination in jharkhand known for safari,photography,nature. It is ideal for history and cultural lover"
Ranchi science centre,Ranchi,east,city,exploration,medium,all,3.9,73.0,"Ranchi science centre is a city destination in jharkhand known for exploration,local experience. It is ideal for explorers and tourists"
Mahabodhi Temple,Bodhgaya,east,religious,religious,low,all,3.9,90.0,"Mahabodhi Temple is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Thai monastery,Vaishali,east,religious,religious,low,all,3.9,79.0,"Thai monastery is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Great Buddha statue,Bodhgaya,east,city,exploration,low,all,3.9,94.0,"Great Buddha statue is a city destination in bihar known for exploration,local experience. It is ideal for explorers and tourists"
Bodhi tree,Vaishali,east,religious,religious,low,all,4.0,57.0,"Bodhi tree is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Indosan Nippon Japanese temple,Vaishali,east,religious,religious,low,all,4.0,93.0,"Indosan Nippon Japanese temple is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Dungeshwari cave temple,Mohanpur,east,religious,religious,low,all,4.8,67.0,"Dungeshwari cave temple is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Bodh gaya archaelogical museum,Bodhgaya,east,heritage,heritage,low,winter,4.5,97.0,"Bodh gaya archaelogical museum is a heritage destination in bihar known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Muchalinda lake,Bodhgaya,east,wildlife,wildlife,low,winter,4.7,98.0,"Muchalinda lake is a wildlife destination in bihar known for safari,photography,nature. It is ideal for history and cultural lover"
Patna museum,Patna,east,heritage,heritage,low,winter,4.5,91.0,"Patna museum is a heritage destination in bihar known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Buddha memorial park,Vaishali,east,religious,religious,low,all,4.9,55.0,"Buddha memorial park is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Srikrishna science centre,Patna,east,city,exploration,low,all,4.8,86.0,"Srikrishna science centre is a city destination in bihar known for exploration,local experience. It is ideal for explorers and tourists"
Sanjay Gandhi Biological Park,Patna,east,wildlife,wildlife,low,winter,3.94,72.0,"Sanjay Gandhi Biological Park is a wildlife destination in bihar known for safari,photography,nature. It is ideal for history and cultural lover"
Takhat Shri Harimandir Ji Patna Sahib,Patna,east,religious,religious,low,all,4.0,87.0,"Takhat Shri Harimandir Ji Patna Sahib is a religious destination in bihar known for temple,spiritual,peace. It is ideal for spiritual seekers"
Budhha Smriti Park,Patna,east,city,wildlife,low,all,4.0,57.0,"Budhha Smriti Park is a city destination in bihar known for exploration,local experience. It is ideal for explorers and tourists"
Kingdom of Dreams,Gurgaon,north,adventure,adventure,luxury,summer,3.8,98.0,"Kingdom of Dreams is a adventure destination in haryana known for trekking,rafting,paragliding. It is ideal for adventure lover"
Ambience Mall,Gurgaon,north,city,shopping,low,all,3.9,95.0,"Ambience Mall is a city destination in haryana known for exploration,local experience. It is ideal for explorers and tourists"
Shopping at HUDA marjet Sector 14,Gurgaon,north,city,shopping,low,all,4.2,65.0,"Shopping at HUDA marjet Sector 14 is a city destination in haryana known for exploration,local experience. It is ideal for explorers and tourists"
Shopping at Sadar bazaar Sector 12A,Gurgaon,north,city,shopping,low,all,4.6,68.0,"Shopping at Sadar bazaar Sector 12A is a city destination in haryana known for exploration,local experience. It is ideal for explorers and tourists"
Wet N Wild water park,Hisar,north,adventure,wildlife,luxury,summer,4.2,96.0,"Wet N Wild water park is a adventure destination in haryana known for trekking,rafting,paragliding. It is ideal for adventure lover"
Go-karting at Link road,Hisar,north,adventure,adventure,low,summer,4.9,94.0,"Go-karting at Link road is a adventure destination in haryana known for trekking,rafting,paragliding. It is ideal for adventure lover"
